開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,フリガナ,氏名,郵便番号,住所,電話番号,メールアドレス,問１,問２,問３,チェック
160108,160111,00分03秒,,0039,,,,,,,0,0,0,0
160111,160111,00分00秒,,0040,,,,,,,0,0,0,0
160111,160111,00分00秒,,0041,,,,,,,0,0,0,0
160111,160111,00分00秒,,0042,,,,,,,0,0,0,0
160111,160111,00分00秒,,0043,,,,,,,0,0,0,0
160111,160111,00分00秒,,0044,,,,,,,0,0,0,0
160111,160112,00分00秒,,0045,,,,,,,0,0,0,0
160112,160112,00分00秒,,0046,,,,,,,0,0,0,0
160112,160112,00分00秒,,0047,,,,,,,0,0,0,0
160112,160112,00分00秒,,0048,,,,,,,0,0,0,0
160112,160113,00分00秒,,0049,,,,,,,0,0,0,0
160113,160113,00分00秒,,0050,,,,,,,0,0,0,0
160113,160113,00分00秒,,0051,,,,,,,0,0,0,0
160113,160113,00分00秒,,0052,,,,,,,0,0,0,0
160113,160113,00分00秒,,0053,,,,,,,0,0,0,0
160113,160114,00分00秒,,0054,,,,,,,0,0,0,0
160114,160114,00分00秒,,0055,,,,,,,0,0,0,0
160114,160114,00分00秒,,0056,,,,,,,0,0,0,0
160114,160114,00分00秒,,0057,,,,,,,0,0,0,0
160114,160114,00分00秒,,0058,,,,,,,0,0,0,0
160114,160115,00分00秒,,0059,,,,,,,0,0,0,0
160115,160115,00分00秒,,0060,,,,,,,0,0,0,0
160115,160115,00分00秒,,0061,,,,,,,0,0,0,0
160115,160115,00分00秒,,0062,,,,,,,0,0,0,0
160115,160115,00分00秒,,0063,,,,,,,0,0,0,0
160115,160116,00分00秒,,0064,,,,,,,0,0,0,0
160116,160116,00分00秒,,0065,,,,,,,0,0,0,0
160116,160116,00分00秒,,0066,,,,,,,0,0,0,0
160116,160116,00分00秒,,0067,,,,,,,0,0,0,0
160116,160117,00分00秒,,0068,,,,,,,0,0,0,0
160117,160117,00分00秒,,0069,,,,,,,0,0,0,0
160117,160117,00分00秒,,0070,,,,,,,0,0,0,0
160117,160117,00分00秒,,0071,,,,,,,0,0,0,0
160117,160118,00分00秒,,0072,,,,,,,0,0,0,0
160118,160118,00分00秒,,0073,,,,,,,0,0,0,0
160118,160118,00分00秒,,0074,,,,,,,0,0,0,0
160118,160118,00分00秒,,0075,,,,,,,0,0,0,0
160118,160118,00分00秒,,0076,,,,,,,0,0,0,0
160118,160119,00分00秒,,0077,,,,,,,0,0,0,0
160119,160119,00分00秒,,0078,,,,,,,0,0,0,0
160119,160119,00分00秒,,0079,,,,,,,0,0,0,0
160119,160119,00分00秒,,0080,,,,,,,0,0,0,0
160119,160120,00分00秒,,0081,,,,,,,0,0,0,0
160120,160120,00分00秒,,0082,,,,,,,0,0,0,0
160120,160120,00分00秒,,0083,,,,,,,0,0,0,0
160120,160120,00分00秒,,0084,,,,,,,0,0,0,0
160120,160120,00分00秒,,0085,,,,,,,0,0,0,0
160120,160121,00分00秒,,0086,,,,,,,0,0,0,0
160121,160121,00分00秒,,0087,,,,,,,0,0,0,0
160121,160121,00分00秒,,0088,,,,,,,0,0,0,0
160121,160121,00分00秒,,0089,,,,,,,0,0,0,0
160121,160121,00分00秒,,0090,,,,,,,0,0,0,0
160121,160122,00分00秒,,0091,,,,,,,0,0,0,0
160122,160122,00分00秒,,0092,,,,,,,0,0,0,0
160122,160122,00分00秒,,0093,,,,,,,0,0,0,0
160122,160122,00分00秒,,0094,,,,,,,0,0,0,0
160122,160123,00分00秒,,0095,,,,,,,0,0,0,0
160123,160123,00分00秒,,0096,,,,,,,0,0,0,0
160123,160123,00分00秒,,0097,,,,,,,0,0,0,0
160123,160123,00分00秒,,0098,,,,,,,0,0,0,0
160123,160123,00分00秒,,0099,,,,,,,0,0,0,0
160123,160124,00分00秒,,0100,,,,,,,0,0,0,0
160124,160124,00分00秒,,0101,,,,,,,0,0,0,0
160124,160124,00分00秒,,0102,,,,,,,0,0,0,0
160124,160124,00分00秒,,0103,,,,,,,0,0,0,0
160124,160125,00分00秒,,0104,,,,,,,0,0,0,0
160125,160125,00分00秒,,0105,,,,,,,0,0,0,0
160125,160125,00分00秒,,0106,,,,,,,0,0,0,0
160125,160125,00分00秒,,0107,,,,,,,0,0,0,0
160125,160126,00分00秒,,0108,,,,,,,0,0,0,0
160126,160126,00分00秒,,0109,,,,,,,0,0,0,0
160126,160126,00分00秒,,0110,,,,,,,0,0,0,0
